library,input,uniquely_mapped,multiple_loci,too_many_loci,percent_unmapped_too_many_mismatches,percent_unmapped_too_short
IL7051-724-518,1090629,935420,125021,3709,0.76%,1.60%
IL7051-726-518,1423803,1174649,205235,4890,0.78%,1.88%
IL7051-727-518,1056981,855430,173716,1671,0.74%,1.69%
IL7051-728-518,1173164,978522,160272,3313,0.75%,1.84%
IL7051-729-518,1163804,938976,190714,3995,0.78%,1.78%
IL7051-701-508,677478,579999,77362,1933,0.70%,1.95%
IL7051-702-508,612389,483556,113929,935,0.74%,1.51%
IL7051-703-508,694470,579747,85132,3068,0.76%,2.93%
IL7051-704-508,725318,602246,105483,2291,0.73%,1.35%
IL7051-705-508,585038,480707,88910,1897,0.75%,1.52%
IL7051-706-508,623648,537039,69828,2002,0.76%,1.51%
IL7051-707-508,814861,677956,101893,5810,0.83%,2.68%
IL7051-710-508,963859,783849,154955,2294,0.72%,1.55%
IL7051-711-508,748268,612800,115104,2394,0.74%,1.61%
IL7051-712-508,692781,577319,92678,3649,0.76%,1.90%
IL7051-714-508,977937,815739,132313,4205,0.70%,1.84%
IL7051-715-508,1472731,1257909,188148,2975,0.66%,0.91%
IL7051-716-508,1346860,1138596,170554,4109,0.67%,1.75%
IL7051-718-508,1404649,1164047,200666,5146,0.74%,1.64%
IL7051-719-508,1278667,1074461,165126,5088,0.73%,1.84%
IL7051-720-508,1459928,1234264,193350,3977,0.69%,1.19%
IL7051-721-508,1228271,1014941,188968,1786,0.68%,1.11%
IL7051-722-508,1083619,849710,195950,4451,0.74%,2.30%
IL7051-723-508,1317487,1121237,160621,3464,0.72%,1.66%
IL7051-724-508,1216962,988352,204472,2470,0.68%,1.08%
IL7051-726-508,1496793,1257653,187298,2310,0.68%,2.58%
IL7051-727-508,1226537,1032399,155353,4010,0.71%,1.99%
IL7051-728-508,1191324,985424,172717,3732,0.75%,1.67%
IL7051-729-508,1143234,973317,142580,2584,0.65%,1.48%
IL7051-701-520,723743,606947,91152,2425,0.78%,2.34%
IL7051-702-520,381321,321090,49055,1304,0.83%,1.71%
IL7051-703-520,778751,638415,120478,1430,0.82%,1.49%
IL7051-704-520,530114,427147,90287,512,0.80%,1.46%
IL7051-705-520,582243,509442,60461,1019,0.76%,1.15%
IL7051-706-520,705424,602912,78550,2546,0.80%,2.19%
IL7051-707-520,1278776,1006885,229393,5808,0.79%,2.04%
IL7051-710-520,783358,668369,96330,2698,0.78%,1.19%
IL7051-711-520,1307243,1106106,174120,2266,0.78%,1.02%
IL7051-712-520,1511591,1277552,182755,6069,0.75%,2.16%
IL7051-714-520,1140398,958964,159188,1633,0.74%,1.04%
IL7051-715-520,1005,723,183,6,1.39%,7.86%
IL7051-716-520,1677338,1439643,196505,3471,0.71%,1.51%
IL7051-718-520,1875225,1526047,311944,2992,0.71%,1.10%
IL7051-719-520,1727559,1448712,243987,3164,0.70%,1.07%
IL7051-720-520,1395160,1169591,187412,4310,0.74%,1.62%
IL7051-721-520,1608705,1294856,281717,2477,0.73%,1.09%
IL7051-722-520,1643245,1341252,269346,1874,0.71%,1.11%
IL7051-723-520,1631488,1259903,311791,4681,0.74%,2.55%
IL7051-724-520,1712271,1350003,280569,29085,0.78%,2.19%
IL7051-726-520,1843362,1551061,253867,3125,0.72%,1.14%
IL7051-727-520,1581287,1342545,194575,6380,0.72%,1.63%
IL7051-728-520,1463645,1167062,263645,2551,0.75%,1.30%
IL7051-729-520,39,16,4,0,17.95%,30.77%
IL7051-701-510,780695,631502,134405,628,0.75%,1.04%
IL7051-702-510,1100205,891364,179840,3223,0.75%,1.55%
IL7051-703-510,1094025,896856,175324,1048,0.74%,1.14%
IL7051-704-510,917751,765375,125638,2811,0.75%,1.79%
IL7051-705-510,1237595,1010992,198946,2291,0.70%,1.33%
IL7051-706-510,917730,773724,124470,1520,0.73%,1.20%
IL7051-707-510,1139687,974577,139148,2055,0.74%,1.30%
IL7051-710-510,1184716,976491,174074,3000,0.74%,1.83%
IL7051-711-510,982809,814135,150921,1161,0.74%,0.92%
IL7051-712-510,1108961,895710,182724,2567,0.74%,1.75%
IL7051-714-510,940816,758912,160975,1192,0.71%,1.34%
IL7051-715-510,2011142,1710353,245022,9029,0.73%,1.52%
IL7051-716-510,1644779,1421614,179938,5452,0.69%,1.56%
IL7051-718-510,1478092,1180818,270816,1558,0.74%,0.93%
IL7051-719-510,1469318,1255214,179439,3631,0.70%,1.33%
IL7051-720-510,1617125,1342981,228266,8462,0.74%,1.51%
IL7051-721-510,1663473,1395042,220611,8740,0.75%,1.48%
IL7051-722-510,1585266,1360220,188427,2653,0.71%,1.39%
IL7051-723-510,1395511,1080068,198652,5656,0.80%,7.08%
IL7051-724-510,1670142,1414664,219318,3374,0.71%,1.22%
IL7051-726-510,1877674,1487465,347377,2752,0.73%,1.35%
IL7051-727-510,1477011,1193430,250040,3419,0.73%,1.27%
IL7051-728-510,1479023,1226776,224896,3494,0.72%,0.84%
IL7051-729-510,1507833,1260222,209640,4404,0.71%,1.45%
IL7051-701-521,641473,542563,85737,1121,0.77%,1.09%
IL7051-702-521,1000903,864362,112821,2958,0.73%,1.25%
IL7051-703-521,1143518,988363,128694,3445,0.75%,1.22%
IL7051-704-521,1092832,947556,120060,3522,0.74%,1.19%
IL7051-705-521,1150284,979868,143222,3358,0.69%,1.33%
IL7051-706-521,855293,733843,102706,1847,0.80%,1.11%
IL7051-707-521,1347030,1073734,229135,4806,0.80%,2.08%
IL7051-710-521,776525,610828,148034,1920,0.77%,1.23%
IL7051-711-521,791429,650521,121096,2058,0.78%,1.40%
IL7051-712-521,1385466,1136429,218178,1384,0.72%,1.40%
IL7051-714-521,1144339,901430,199195,11877,0.72%,2.00%
IL7051-715-521,1428460,1200879,192807,5481,0.74%,1.25%
IL7051-716-521,1487601,1258524,184207,6856,0.76%,1.73%
IL7051-718-521,1266051,1036417,198620,1566,0.75%,1.53%
IL7051-719-521,1576714,1307903,221179,4054,0.72%,2.02%
IL7051-720-521,1472660,1223334,185337,3121,0.80%,3.25%
IL7051-721-521,1709683,1407964,265381,2409,0.66%,1.30%
IL7051-722-521,1426732,1115464,244370,4729,0.80%,3.49%
IL7051-723-521,1539094,1270262,233900,3790,0.74%,1.23%
IL7051-724-521,1648711,1319650,277229,4409,0.75%,2.09%
IL7051-726-521,1531452,1239941,261311,2122,0.74%,1.08%
IL7051-727-521,1587959,1366546,186310,3843,0.67%,1.20%
IL7051-728-521,1627728,1392629,204230,2986,0.72%,0.95%
IL7051-729-521,1645911,1361582,234184,11649,0.68%,1.59%
IL7051-701-511,1828266,1518025,276682,2240,0.71%,0.96%
IL7051-702-511,872500,718397,126567,3933,0.80%,1.86%
IL7051-703-511,954068,709453,223575,1109,0.77%,1.31%
IL7051-704-511,1104676,893778,172929,9956,0.76%,1.75%
IL7051-705-511,1014206,831555,155673,3937,0.76%,1.45%
IL7051-706-511,765083,632226,115157,2441,0.75%,1.20%
IL7051-707-511,416568,117175,14626,560,0.73%,67.47%
IL7051-710-511,151,77,17,0,1.32%,36.42%
IL7051-711-511,1226994,1004673,194154,2080,0.77%,1.34%
IL7051-712-511,1080667,884787,173463,2477,0.70%,1.12%
IL7051-714-511,954231,791290,145580,1111,0.70%,0.99%
IL7051-715-511,1730660,1503893,179383,7524,0.70%,1.54%
IL7051-716-511,1588539,1390123,172290,2618,0.67%,0.77%
IL7051-718-511,1285647,1096243,159703,4427,0.74%,1.17%
IL7051-719-511,2360,1823,396,3,0.51%,5.30%
IL7051-720-511,832539,669881,148004,540,0.67%,1.00%
IL7051-721-511,1316143,1132889,150750,4486,0.73%,1.33%
IL7051-722-511,1540986,1325919,184802,3979,0.74%,0.91%
IL7051-723-511,1596647,1339158,216705,5496,0.72%,1.43%
IL7051-724-511,1913065,1625654,226132,10336,0.75%,1.76%
IL7051-726-511,1784872,1575259,167617,4651,0.72%,1.33%
IL7051-727-511,1475026,1228658,198614,11309,0.77%,1.65%
IL7051-728-511,1857414,1624810,186905,6948,0.71%,1.30%
IL7051-729-511,2380,1871,391,2,1.09%,3.78%
IL7051-701-522,839139,695923,125212,1119,0.76%,1.24%
IL7115-701-502,7939,4352,1888,7,1.75%,19.55%
IL7115-702-502,109414,67285,16335,35,0.83%,22.71%
IL7115-703-502,564703,479520,24563,1102,0.61%,9.91%
IL7115-704-502,479677,239895,55377,762,0.70%,37.57%
IL7115-705-502,373778,295649,44052,222,0.59%,8.47%
IL7115-706-502,471533,280226,42285,46,0.68%,30.91%
IL7115-707-502,1045359,643017,332235,5421,0.80%,5.24%
IL7115-710-502,1216078,1045247,141537,1767,0.65%,1.56%
IL7115-711-502,833659,560753,243338,3595,0.80%,2.22%
IL7115-712-502,1040109,722077,223821,1692,0.74%,8.15%
IL7115-714-502,1215283,909583,259670,695,0.67%,3.06%
IL7115-715-502,1037551,739873,259045,1790,0.72%,2.77%
IL7115-716-502,858369,433102,340037,3607,0.81%,8.59%
IL7115-718-502,1087042,730590,314595,3198,0.74%,2.75%
IL7115-719-502,1146509,995469,112108,2465,0.67%,2.46%
IL7115-720-502,1184143,1031361,122507,2751,0.64%,1.66%
